project,technology,operational_type,balancing_type_project,variable_om_cost_per_mwh,project_fuel_scenario_id,heat_rate_curves_scenario_id,variable_om_curves_scenario_id,startup_chars_scenario_id,min_stable_level_fraction,unit_size_mw,startup_cost_per_mw,shutdown_cost_per_mw,startup_fuel_mmbtu_per_mw,startup_plus_ramp_up_rate,shutdown_plus_ramp_down_rate,ramp_up_when_on_rate,ramp_down_when_on_rate,ramp_up_violation_penalty,ramp_down_violation_penalty,min_up_time_hours,min_up_time_violation_penalty,min_down_time_hours,min_down_time_violation_penalty,cycle_selection_scenario_id,charging_efficiency,discharging_efficiency,charging_capacity_multiplier,discharging_capacity_multiplier,minimum_duration_hours,maximum_duration_hours,aux_consumption_frac_capacity,aux_consumption_frac_power,last_commitment_stage,variable_generator_profile_scenario_id,curtailment_cost_per_pwh,hydro_operational_chars_scenario_id,lf_reserves_up_derate,lf_reserves_down_derate,regulation_up_derate,regulation_down_derate,frequency_response_derate,spinning_reserves_derate,lf_reserves_up_ramp_rate,lf_reserves_down_ramp_rate,regulation_up_ramp_rate,regulation_down_ramp_rate,frequency_response_ramp_rate,spinning_reserves_ramp_rate,powerunithour_per_fuelunit,cap_factor_limits_scenario_id
IndiaBulls_2,Private_Coal,gen_commit_bin,day,5114.729128,,,,,0.55,270,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
IndiaBulls_3,Private_Coal,gen_commit_bin,day,5114.729128,,,,,0.55,270,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
IndiaBulls_4,Private_Coal,gen_commit_bin,day,5114.729128,,,,,0.55,270,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
IndiaBulls_Balance,Private_Coal,gen_commit_bin,day,5114.729128,,,,,0.55,120,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
JSW,Private_Coal,gen_commit_bin,day,3779.035534,,,,,0.55,300,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Tata_Mundra,Private_Coal,gen_commit_bin,day,2655.098242,,,,,0.55,800,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
FlexibleGas,Market_FlexibleGen,gen_simple,day,12000,,,,,,2000,,,,,,0.04,0.04,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Market_NonPeak,Market_FlexibleGen,gen_commit_bin,day,6500,,,,,1,2000,,,,,,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Market_Peak,Market_FlexibleGen,gen_commit_bin,day,10000,,,,,1,2000,,,,,,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Ghatghar,Hydro_PS,stor,day,0,,,,,,125,,,,,,0.4,0.4,,,,,,,,0.75,0.985,1.2,,,,,0.015,,,,,,,,,,,,,,,,,,
Sardar_Sarovar_RBPH_PSP,Hydro_PS,stor,day,3472,,,,,,324,,,,,,0.4,0.4,,,,,,,,0.75,0.985,1.333333333,,,,,0.01,,,,,,,,,,,,,,,,,,
Solar_Existing,Solar,gen_var,day,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,
Solar_Fixed_Tilt,Solar,gen_var,day,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,
Solar_Single_Axis,Solar,gen_var,day,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,
Wind_Existing,Wind,gen_var,day,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,
Wind_New,Wind,gen_var,day,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,
660MW_1,New_Coal,gen_commit_bin,day,4489.640815,,,,,0.55,660,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
660MW_2,New_Coal,gen_commit_bin,day,4489.640815,,,,,0.55,660,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
660MW_3,New_Coal,gen_commit_bin,day,4489.640815,,,,,0.55,660,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
660MW_4,New_Coal,gen_commit_bin,day,4489.640815,,,,,0.55,660,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
BESS_4_hr_Exo,Battery,stor,day,0,,,,,,2500,,,,,,,,,,,,,,,0.95,0.95,,,,,,0,,,,,,,,,,,,,,,,,,
BESS_6_hr_Exo,Battery,stor,day,0,,,,,,3000,,,,,,,,,,,,,,,0.95,0.95,,,,,,0,,,,,,,,,,,,,,,,,,
