load_zone,stage_id,timepoint,load_mw
MSEDCL,1,2030217,25766.88778
MSEDCL,1,2030218,26142.16697
MSEDCL,1,2030219,26071.21232
MSEDCL,1,2030220,27195.28275
MSEDCL,1,2030221,28103.86142
MSEDCL,1,2030222,28136.35046
MSEDCL,1,2030223,28147.26701
MSEDCL,1,2030224,27479.09225
MSEDCL,1,2030225,27552.17097
MSEDCL,1,2030226,26999.01401
MSEDCL,1,2030227,27003.399
MSEDCL,1,2030228,27416.37454
MSEDCL,1,2030229,27640.39684
MSEDCL,1,2030230,27413.94363
MSEDCL,1,2030231,27245.89814
MSEDCL,1,2030232,27899.16155
MSEDCL,1,2030233,27559.1668
MSEDCL,1,2030234,27317.16131
MSEDCL,1,2030235,27764.15899
MSEDCL,1,2030236,27586.19203
MSEDCL,1,2030237,27365.62165
MSEDCL,1,2030238,26734.50409
MSEDCL,1,2030239,26758.41248
MSEDCL,1,2030240,26371.35892
MSEDCL,1,2030241,26819.30336
MSEDCL,1,2030242,26921.63865
MSEDCL,1,2030243,26984.84622
MSEDCL,1,2030244,26933.30761
MSEDCL,1,2030245,26289.99625
MSEDCL,1,2030246,26221.98159
MSEDCL,1,2030247,26042.25828
MSEDCL,1,2030248,26088.36646
MSEDCL,1,2030249,24937.84219
MSEDCL,1,2030250,25423.82744
MSEDCL,1,2030251,25868.80347
MSEDCL,1,2030252,25535.51821
MSEDCL,1,2030253,26370.08832
MSEDCL,1,2030254,26082.5806
MSEDCL,1,2030255,26295.37749
MSEDCL,1,2030256,26583.49505
MSEDCL,1,2030257,26752.15646
MSEDCL,1,2030258,26785.90936
MSEDCL,1,2030259,26403.81451
MSEDCL,1,2030260,26418.28162
MSEDCL,1,2030261,25922.23954
MSEDCL,1,2030262,26077.02996
MSEDCL,1,2030263,25888.15789
MSEDCL,1,2030264,26131.87132
MSEDCL,1,2030265,26247.58837
MSEDCL,1,2030266,25892.67857
MSEDCL,1,2030267,26136.85962
MSEDCL,1,2030268,25862.82573
MSEDCL,1,2030269,26185.62159
MSEDCL,1,2030270,26523.03693
MSEDCL,1,2030271,26398.36623
MSEDCL,1,2030272,26171.09545
MSEDCL,1,2030273,25890.19714
MSEDCL,1,2030274,26005.87876
MSEDCL,1,2030275,25340.59072
MSEDCL,1,2030276,24940.93287
MSEDCL,1,2030277,26758.52176
MSEDCL,1,2030278,25751.677
MSEDCL,1,2030279,26269.42419
MSEDCL,1,2030280,25966.5549
MSEDCL,1,2030281,26211.24732
MSEDCL,1,2030282,25793.41868
MSEDCL,1,2030283,26112.95431
MSEDCL,1,2030284,26213.06654
MSEDCL,1,2030285,26096.00838
MSEDCL,1,2030286,26556.89669
MSEDCL,1,2030287,26466.58648
MSEDCL,1,2030288,26963.4183
MSEDCL,1,2030289,26661.6607
MSEDCL,1,2030290,27505.1085
MSEDCL,1,2030291,27867.6611
MSEDCL,1,2030292,27471.33683
MSEDCL,1,2030293,27386.2796
MSEDCL,1,2030294,26717.83835
MSEDCL,1,2030295,27069.50155
MSEDCL,1,2030296,26692.41214
MSEDCL,1,2030297,27067.85676
MSEDCL,1,2030298,27266.3899
MSEDCL,1,2030299,26702.5775
MSEDCL,1,2030300,26842.20633
MSEDCL,1,2030301,23926.41013
MSEDCL,1,2030302,25804.8396
MSEDCL,1,2030303,26362.91987
MSEDCL,1,2030304,26803.93443
MSEDCL,1,2030305,26814.96188
MSEDCL,1,2030306,26568.86788
MSEDCL,1,2030307,26730.13022
MSEDCL,1,2030308,26669.92567
MSEDCL,1,2030309,27283.13396
MSEDCL,1,2030310,26817.49114
MSEDCL,1,2030311,27038.65429
MSEDCL,1,2030312,27623.88105
MSEDCL,1,2030313,27218.52947
MSEDCL,1,2030314,26955.60547
MSEDCL,1,2030315,26282.6636
MSEDCL,1,2030316,26735.96069
MSEDCL,1,2030317,24918.13329
MSEDCL,1,2030318,25190.79521
MSEDCL,1,2030319,25641.67686
MSEDCL,1,2030320,25538.83769
MSEDCL,1,2030321,26183.87423
