stage_id,timepoint,cap_factor
1,2030081,0.151705754
1,2030082,0.15762123
1,2030083,0.162338635
1,2030084,0.15215503
1,2030085,0.138377213
1,2030086,0.096145206
1,2030087,0.123101806
1,2030088,0.100637973
1,2030089,0.119432713
1,2030090,0.118234642
1,2030091,0.131188786
1,2030092,0.119357834
1,2030093,0.132911013
1,2030094,0.123326444
1,2030095,0.092251475
1,2030096,0.116961692
1,2030097,0.154326534
1,2030098,0.157920748
1,2030099,0.165258933
1,2030100,0.162713032
1,2030101,0.129691197
1,2030102,0.13867673
1,2030103,0.121679097
1,2030104,0.120368706
1,2030105,0.119058316
1,2030106,0.13066463
1,2030107,0.106906313
1,2030108,0.112059252
1,2030109,0.112815016
1,2030110,0.106837607
1,2030111,0.092890318
1,2030112,0.117280897
1,2030113,0.103539726
1,2030114,0.085813615
1,2030115,0.105944431
1,2030116,0.113295957
1,2030117,0.106867506
1,2030118,0.094913304
1,2030119,0.080053141
1,2030120,0.131255631
1,2030121,0.134600158
1,2030122,0.119583914
1,2030123,0.130300052
1,2030124,0.113713927
1,2030125,0.113577416
1,2030126,0.133849346
1,2030127,0.130777841
1,2030128,0.132347722
1,2030129,0.079995632
1,2030130,0.125999945
1,2030131,0.105728015
1,2030132,0.115488574
1,2030133,0.127816893
1,2030134,0.135978323
1,2030135,0.105153255
1,2030136,0.090486489
1,2030137,0.124605365
1,2030138,0.145424715
1,2030139,0.135791881
1,2030140,0.086633356
1,2030141,0.073955304
1,2030142,0.072836652
1,2030143,0.069729286
1,2030144,0.098689935
1,2030145,0.149277848
1,2030146,0.093780297
1,2030147,0.130322917
1,2030148,0.125661869
1,2030149,0.097757725
1,2030150,0.082407338
1,2030151,0.070972233
1,2030152,0.11267308
1,2030153,0.141571581
1,2030154,0.149775027
1,2030155,0.141002797
1,2030156,0.107530873
1,2030157,0.127081941
1,2030158,0.134382656
1,2030159,0.117120796
1,2030160,0.127700646
1,2030161,0.105713659
1,2030162,0.108944814
1,2030163,0.11382203
1,2030164,0.135586607
1,2030165,0.120833028
1,2030166,0.105225937
1,2030167,0.106262345
1,2030168,0.129916843
1,2030169,0.104799181
1,2030170,0.088704368
1,2030171,0.103092155
1,2030172,0.11839442
1,2030173,0.102421538
1,2030174,0.068890677
1,2030175,0.122174263
1,2030176,0.145677034
1,2030177,0.148287081
1,2030178,0.160062641
1,2030179,0.151504115
1,2030180,0.141853012
1,2030181,0.13311239
1,2030182,0.120426348
1,2030183,0.139182266
1,2030184,0.128559982
1,2030185,0.1326268
1,2030186,0.13359798
1,2030187,0.170867021
1,2030188,0.172627285
1,2030189,0.150108044
1,2030190,0.138757375
1,2030191,0.145980528
1,2030192,0.130684439
1,2030193,0.106283536
1,2030194,0.132587822
1,2030195,0.167386227
1,2030196,0.141906717
1,2030197,0.150399887
1,2030198,0.179418218
1,2030199,0.192216953
1,2030200,0.195578833
1,2030201,0.199117654
1,2030202,0.158185293
1,2030203,0.176587161
1,2030204,0.136539505
1,2030205,0.163139642
1,2030206,0.184254606
1,2030207,0.192806757
1,2030208,0.21026494
1,2030209,0.197525185
1,2030210,0.177648807
1,2030211,0.177648807
1,2030212,0.181048725
1,2030213,0.185970987
1,2030214,0.187045964
1,2030215,0.189818272
1,2030216,0.184499966
1,2030217,0.194570801
1,2030218,0.197739154
1,2030219,0.195306312
1,2030220,0.197060221
1,2030221,0.203962704
1,2030222,0.193948446
1,2030223,0.190440627
1,2030224,0.188403829
1,2030225,0.187498586
1,2030226,0.193043203
1,2030227,0.187328852
1,2030228,0.175560685
1,2030229,0.17369362
1,2030230,0.169054247
1,2030231,0.168262159
1,2030232,0.163226741
1,2030233,0.129336683
1,2030234,0.120567135
1,2030235,0.139237785
1,2030236,0.15106253
1,2030237,0.170695001
1,2030238,0.188347251
1,2030239,0.18291579
1,2030240,0.190044583
