stage_id,timepoint,cap_factor
1,2030080,0.167346339
1,2030081,0.150371341
1,2030082,0.16357347
1,2030083,0.167254189
1,2030084,0.142214638
1,2030085,0.11172451
1,2030086,0.145442915
1,2030087,0.138557354
1,2030088,0.15401942
1,2030089,0.167197068
1,2030090,0.155305821
1,2030091,0.13132217
1,2030092,0.16446123
1,2030093,0.139163071
1,2030094,0.13987892
1,2030095,0.151594674
1,2030096,0.193187576
1,2030097,0.194708561
1,2030098,0.151065993
1,2030099,0.161994755
1,2030100,0.175167725
1,2030101,0.163246628
1,2030102,0.15945119
1,2030103,0.16621141
1,2030104,0.164176882
1,2030105,0.178734181
1,2030106,0.165994766
1,2030107,0.163954905
1,2030108,0.168247106
1,2030109,0.17840297
1,2030110,0.179674222
1,2030111,0.154181989
1,2030112,0.164520767
1,2030113,0.150840369
1,2030114,0.172340204
1,2030115,0.148300265
1,2030116,0.172015632
1,2030117,0.148909408
1,2030118,0.151316665
1,2030119,0.157818243
1,2030120,0.14628106
1,2030121,0.152230332
1,2030122,0.169633426
1,2030123,0.167266179
1,2030124,0.17830361
1,2030125,0.159465873
1,2030126,0.135649432
1,2030127,0.132269654
1,2030128,0.129233119
1,2030129,0.138059457
1,2030130,0.175436058
1,2030131,0.148107815
1,2030132,0.16006796
1,2030133,0.176892095
1,2030134,0.171595959
1,2030135,0.161747908
1,2030136,0.16803371
1,2030137,0.166979468
1,2030138,0.181715935
1,2030139,0.207945585
1,2030140,0.172110833
1,2030141,0.147700046
1,2030142,0.167047202
1,2030143,0.152252902
1,2030144,0.185795511
1,2030145,0.211047495
1,2030146,0.199530746
1,2030147,0.191172792
1,2030148,0.166444697
1,2030149,0.159215668
1,2030150,0.173076285
1,2030151,0.14762074
1,2030152,0.149564829
1,2030153,0.177465661
1,2030154,0.182276126
1,2030155,0.206743934
1,2030156,0.178045642
1,2030157,0.177121543
1,2030158,0.110737074
1,2030159,0.145251751
1,2030160,0.166985461
1,2030161,0.188413052
1,2030162,0.208091962
1,2030163,0.198641334
1,2030164,0.191423695
1,2030165,0.213684297
1,2030166,0.229186386
1,2030167,0.201385072
1,2030168,0.218898843
1,2030169,0.195389887
1,2030170,0.198182827
1,2030171,0.205763615
1,2030172,0.230345936
1,2030173,0.239280829
