stage_id,timepoint,cap_factor
1,20304696,0.312537571
1,20304697,0.355827887
1,20304698,0.356504169
1,20304699,0.357076202
1,20304700,0.284781651
1,20304701,0.38137935
1,20304702,0.340254688
1,20304703,0.33678675
1,20304704,0.307636841
1,20304705,0.39107533
1,20304706,0.354437149
1,20304707,0.369072222
1,20304708,0.352127761
1,20304709,0.314963889
1,20304710,0.295912637
1,20304711,0.307270356
1,20304712,0.359964282
1,20304713,0.33884947
1,20304714,0.32714023
1,20304715,0.342977092
1,20304716,0.377005884
1,20304717,0.323065067
1,20304718,0.364086626
1,20304719,0.388162931
1,20304720,0.362098383
1,20304721,0.348530061
1,20304722,0.334435284
1,20304723,0.346772751
1,20304724,0.320940309
1,20304725,0.373331229
1,20304726,0.336490539
1,20304727,0.359549919
1,20304728,0.303843645
1,20304729,0.34134507
1,20304730,0.356901773
1,20304731,0.351936809
1,20304732,0.307785072
1,20304733,0.392841804
1,20304734,0.317408547
1,20304735,0.325882026
1,20304736,0.305618271
1,20304737,0.33235248
1,20304738,0.325117829
1,20304739,0.351717409
1,20304740,0.291424702
1,20304741,0.315382691
1,20304742,0.317004509
1,20304743,0.32733805
1,20304744,0.332662969
1,20304745,0.360205243
1,20304746,0.299714391
1,20304747,0.354924944
1,20304748,0.309523893
1,20304749,0.303189751
1,20304750,0.32838813
1,20304751,0.377569813
1,20304752,0.349163473
1,20304753,0.343415724
1,20304754,0.338145105
1,20304755,0.318744132
1,20304756,0.304023224
1,20304757,0.343178138
1,20304758,0.314672169
1,20304759,0.322214341
1,20304760,0.335072639
1,20304761,0.31336752
1,20304762,0.342633578
1,20304763,0.354045309
1,20304764,0.377498237
1,20304765,0.304665686
1,20304766,0.335144445
1,20304767,0.356706478
1,20304768,0.30966472
1,20304769,0.290997109
1,20304770,0.39693687
1,20304771,0.326610322
1,20304772,0.37001118
1,20304773,0.370373025
1,20304774,0.315427009
1,20304775,0.312376065
1,20304776,0.327037802
1,20304777,0.358018319
1,20304778,0.324657533
1,20304779,0.348430054
1,20304780,0.365608243
1,20304781,0.364979763
1,20304782,0.348133709
1,20304783,0.322589116
1,20304784,0.366848749
1,20304785,0.31997571
1,20304786,0.350310786
1,20304787,0.355963596
1,20304788,0.328989012
1,20304789,0.33364785
1,20304790,0.354326219
1,20304791,0.313659856
1,20304792,0.364396568
1,20304793,0.319944908
1,20304794,0.304068044
1,20304795,0.353165736
1,20304796,0.305344826
1,20304797,0.335038936
1,20304798,0.327593008
1,20304799,0.292550914
1,20304800,0.394693958
1,20304801,0.37106494
1,20304802,0.331715374
1,20304803,0.326631536
1,20304804,0.375147167
1,20304805,0.381609603
1,20304806,0.331445582
1,20304807,0.319080302
