stage_id,timepoint,availability_derate
1,2030288,1.0
1,2030289,1.0
1,2030290,1.0
1,2030291,1.0
1,2030292,1.0
1,2030293,1.0
1,2030294,1.0
1,2030295,1.0
1,2030296,1.0
1,2030297,1.0
1,2030298,1.0
1,2030299,1.0
1,2030300,1.0
1,2030301,1.0
1,2030302,1.0
1,2030303,1.0
1,2030304,1.0
1,2030305,1.0
1,2030306,1.0
1,2030307,1.0
1,2030308,1.0
1,2030309,1.0
1,2030310,1.0
1,2030311,1.0
1,2030312,1.0
1,2030313,1.0
1,2030314,1.0
1,2030315,1.0
1,2030316,1.0
1,2030317,1.0
1,2030318,1.0
1,2030319,1.0
1,2030320,1.0
1,2030321,1.0
1,2030322,1.0
1,2030323,1.0
1,2030324,1.0
1,2030325,1.0
1,2030326,1.0
1,2030327,1.0
1,2030328,1.0
1,2030329,1.0
1,2030330,1.0
1,2030331,1.0
1,2030332,1.0
1,2030333,1.0
1,2030334,1.0
1,2030335,1.0
1,2030336,1.0
1,2030337,1.0
1,2030338,1.0
1,2030339,1.0
1,2030340,1.0
1,2030341,1.0
1,2030342,1.0
1,2030343,1.0
1,2030344,1.0
1,2030345,1.0
1,2030346,1.0
1,2030347,1.0
1,2030348,1.0
1,2030349,1.0
1,2030350,1.0
1,2030351,1.0
1,2030352,1.0
1,2030353,1.0
1,2030354,1.0
1,2030355,1.0
1,2030356,1.0
1,2030357,1.0
1,2030358,1.0
1,2030359,1.0
1,2030360,1.0
1,2030361,1.0
1,2030362,1.0
1,2030363,1.0
1,2030364,1.0
1,2030365,1.0
1,203000101,1.0
1,203000102,1.0
1,203000103,1.0
1,203000104,1.0
1,203000105,1.0
1,203000106,1.0
1,203000107,1.0
1,203000108,1.0
1,203000109,1.0
1,203000110,1.0
1,203000111,1.0
1,203000112,1.0
1,203000113,1.0
1,203000114,1.0
1,203000115,1.0
1,203000116,1.0
1,203000117,1.0
1,203000118,1.0
1,203000119,1.0
1,203000120,1.0
1,203000121,1.0
1,203000122,1.0
1,203000123,1.0
1,203000124,1.0
1,203000125,1.0
1,203000126,1.0
1,203000127,1.0
1,203000128,1.0
1,203000129,1.0
1,203000130,1.0
1,203000131,1.0
1,203000132,1.0
1,203000133,1.0
1,203000134,1.0
1,203000135,1.0
1,203000136,1.0
1,203000137,1.0
1,203000138,1.0
1,203000139,1.0
1,203000140,1.0
1,203000141,1.0
1,203000142,1.0
