stage_id,timepoint,availability_derate
1,2030104,0.208333333
1,2030105,0.208333333
1,2030106,0.208333333
1,2030107,0.208333333
1,2030108,0.208333333
1,2030109,0.208333333
1,2030110,0.208333333
1,2030111,0.208333333
1,2030112,0.208333333
1,2030113,0.208333333
1,2030114,0.208333333
1,2030115,0.208333333
1,2030116,0.208333333
1,2030117,0.208333333
1,2030118,0.208333333
1,2030119,0.208333333
1,2030120,0.208333333
1,2030121,0.208333333
1,2030122,0.208333333
1,2030123,0.208333333
1,2030124,0.208333333
1,2030125,0.208333333
1,2030126,0.208333333
1,2030127,0.208333333
1,2030128,0.208333333
1,2030129,0.208333333
1,2030130,0.208333333
1,2030131,0.208333333
1,2030132,0.208333333
1,2030133,0.208333333
1,2030134,0.208333333
1,2030135,0.208333333
1,2030136,0.208333333
1,2030137,0.208333333
1,2030138,0.208333333
1,2030139,0.208333333
1,2030140,0.208333333
1,2030141,0.208333333
1,2030142,0.208333333
1,2030143,0.208333333
1,2030144,0.208333333
1,2030145,0.208333333
1,2030146,0.208333333
1,2030147,0.208333333
1,2030148,0.208333333
1,2030149,0.208333333
1,2030150,0.208333333
1,2030151,0.208333333
1,2030152,0.208333333
1,2030153,0.208333333
1,2030154,0.208333333
1,2030155,0.208333333
1,2030156,0.208333333
1,2030157,0.208333333
1,2030158,0.208333333
1,2030159,0.208333333
1,2030160,0.208333333
1,2030161,0.208333333
1,2030162,0.208333333
1,2030163,0.208333333
1,2030164,0.208333333
1,2030165,0.208333333
1,2030166,0.208333333
1,2030167,0.208333333
1,2030168,0.208333333
1,2030169,0.208333333
1,2030170,0.208333333
1,2030171,0.208333333
1,2030172,0.208333333
1,2030173,0.208333333
1,2030174,0.208333333
1,2030175,0.208333333
1,2030176,0.208333333
1,2030177,0.208333333
1,2030178,0.208333333
1,2030179,0.208333333
1,2030180,0.208333333
1,2030181,0.208333333
1,2030182,0.208333333
1,2030183,0.208333333
1,2030184,0.208333333
1,2030185,0.208333333
1,2030186,0.208333333
1,2030187,0.208333333
1,2030188,0.208333333
1,2030189,0.208333333
1,2030190,0.208333333
1,2030191,0.208333333
1,2030192,0.208333333
1,2030193,0.208333333
1,2030194,0.208333333
1,2030195,0.208333333
1,2030196,0.208333333
1,2030197,0.208333333
1,2030198,0.208333333
1,2030199,0.208333333
1,2030200,0.208333333
1,2030201,0.208333333
1,2030202,0.208333333
1,2030203,0.208333333
1,2030204,0.208333333
1,2030205,0.208333333
1,2030206,0.208333333
1,2030207,0.208333333
1,2030208,0.208333333
1,2030209,0.208333333
1,2030210,0.208333333
1,2030211,0.208333333
1,2030212,0.208333333
1,2030213,0.208333333
1,2030214,0.208333333
1,2030215,0.208333333
1,2030216,0.208333333
1,2030217,0.208333333
1,2030218,0.208333333
1,2030219,0.208333333
1,2030220,0.208333333
1,2030221,0.208333333
1,2030222,0.208333333
1,2030223,0.208333333
1,2030224,0.208333333
1,2030225,0.208333333
1,2030226,0.208333333
1,2030227,0.208333333
1,2030228,0.208333333
1,2030229,0.208333333
1,2030230,0.208333333
1,2030231,0.208333333
1,2030232,0.208333333
1,2030233,0.208333333
1,2030234,0.208333333
1,2030235,0.208333333
1,2030236,0.208333333
1,2030237,0.208333333
1,2030238,0.208333333
1,2030239,0.208333333
1,2030240,0.208333333
1,2030241,0.208333333
1,2030242,0.208333333
1,2030243,0.208333333
1,2030244,0.208333333
1,2030245,0.208333333
1,2030246,0.208333333
1,2030247,0.208333333
1,2030248,0.208333333
1,2030249,0.208333333
1,2030250,0.208333333
1,2030251,0.208333333
1,2030252,0.208333333
1,2030253,0.208333333
1,2030254,0.208333333
1,2030255,0.208333333
1,2030256,0.208333333
1,2030257,0.208333333
1,2030258,0.208333333
1,2030259,0.208333333
1,2030260,0.208333333
1,2030261,0.208333333
1,2030262,0.208333333
1,2030263,0.208333333
1,2030264,0.208333333
1,2030265,0.208333333
1,2030266,0.208333333
1,2030267,0.208333333
1,2030268,0.208333333
1,2030269,0.208333333
1,2030270,0.208333333
1,2030271,0.208333333
1,2030272,0.208333333
1,2030273,0.208333333
1,2030274,0.208333333
1,2030275,0.208333333
1,2030276,0.208333333
1,2030277,0.208333333
